provider_name,provider_type,address,emirate
Dubai Dental Hospital Fz Llc,Clinic,Bldg 34 First Floor Dubai Healthcare City,Dubai
Dubai London Clinic - Dental Center,Clinic,Villa 440A Al Wasl Road Jumeirah 2,Dubai
Dubai London Clinic & Specialty Hospital,Clinic,Al Thanyah Centre Al Thanyah Street Umm Al Sheif,Dubai
Dubai London Clinic & Specialty Hospital - The Villa Centro Mall,Clinic,The Villa Centro Mall Near Spinnys Wadi Al Safa 5,Dubai
Dubai London Clinic And Speciality Hospi,Clinic,"Lower Ground Level B-1001A, 02, 03A,Nakheel Mall Palm Jumeirah",Dubai
Dubai London Clinic- Garhoud Branch,Clinic,Dubai Festival City Mall Groun Garhoud Road Garhoud,Dubai
Dubai Physio & Rehab Center (DHA),Clinic,Street 29B Alsafa 2 Jumaira,Dubai
Dulsco Medical Clinic Branch,Clinic,Souqno4Gateno2 Labor Village No 1 Dubai Industrial City,Dubai
Dulsco Medical Services,Clinic,Dulsco Village Premises Behind New Grand City Mall Quoz Industrial Area 4,Dubai
Durraiya Kamal Medical Clinic,Clinic,"Al Ghaz Building, Apt 105, Nea Al Maktoum Hospital Road Baniyas Square,Deria",Dubai
Dx Bone Bone And Joint Excellence -Br,Clinic,"Building 1A, Floor 2  Dubai Design District",Dubai
Dxbone Excellence Center Llc,Clinic,61 A Street  Al Gharhoud,Dubai
Ebsaar Eye Surgery Center,Clinic,Villa 32 A Behind Village Mall Jumeirah Beach Road,Dubai
Emirates Hospitalclinics-Nad Al Sheba,Clinic,Near Aswak Mall  Nad Ala Sheba,Dubai
Emirates Hospitals & Clinics Llc Branch,Clinic,20Th Floor Al Habtourbusiness Dubai Marina,Dubai
Emirates Hospitals &Clinics Llc -Conrad,Clinic,Conrad Business Towers Shaikh Zayed Road Shaikh Zayed,Dubai
Emirates Hospitals And  Clinics Llc Branch,Clinic,Conrad Business Towers Shaikh Zayed Road Shaikh Zayed,Dubai
Emirates Hospitals And Clinics Llc Branc,Clinic,"27Th Floor, Al Habtoor Busines Sufouh Road Dubai Marina",Dubai
Emirates Hospitals And Clinics Llc Palm,Clinic,"Mezzanine, Building 9 Golden Mile Galleria, Palm Jumeirah",Dubai
Emirates Hospitals Clinics Business Bay,Clinic,Business Bay Avenue Shop: F54 Business Bay,Dubai
Emirates Integra Medical & Surgery Center Fz Llc ,Clinic,Building 64 Al Razi Medical Complex Dhcc,Dubai
Emirates Star Medical Center Branch,Clinic,Jafza Medical Next To Village Hypermarket Jafzanrth,Dubai
Empire Dental Clinic Llc,Clinic,Empire Height Tower Al Abraj Street Dubai,Dubai
Exeter Mc For Bone & Joint Health-Dxb,Clinic,"Villa # 30, Behind Village Mal Street 4 A Jumeirah",Dubai
Falcon Medical Clinic,Clinic,Alrustamanibuilding Near  Qwality Computerkhalid B Burdubai,Dubai
Family Clinic,Clinic,"Albadaoasisbuilding Al Hudeiba Street Al Bada, Satwa",Dubai
Family Gathering (DHA),Clinic,Al Mamzar Al Mamzar Al Mamzar,Dubai
First Medical Centre,Clinic,"Bu Haleeba Bldg., Above Dominos Pizza Al Muraqqabat",Dubai
Fullcare Medical Center,Clinic,Adel Nori Bld  Al Warqa 1,Dubai
Galinus Center For Physiotherapy And Reh,Clinic,Gate81Stfloorhamaraincenter Near Al Murraqabat Police Stat Abu Baker Al Siddique Road,Dubai
Gardens Medical Centre (Aster)A+,Clinic,"No.9 G Floor,Behind Chelsea Ho Zen Cluster Discovery Gardens",Dubai
Gardens Speciality Clinic (Aster)A+,Clinic,Ground Flr Zen Cluster Near Sunrise Supermarket Discovery Gardens,Dubai
General Medical Centre (Gmc),Clinic,"Magrudy'S Mall, 1St Floor Jumeirah Road, Jumeriah 1 Dubai, Uae",Dubai
General Medical Centre Branch (Gmc),Clinic,"1St Floor, World Trade Centre Appts - Block A Dubai",Dubai
General Medical Centre Tecom (Gmc ),Clinic,"Tameem House, 3Rd Flr Suite,301, Tecom Dubai",Dubai
Getwell Medical Centre,Clinic,"Getwell Building, F-2, 203 Khalid Bin Waleed Road Mankhool,Bur Dubai",Dubai
Ghussais Clinic (DHA),Clinic,"11Th St, Near Police Station Al Qusais 2 55.389347 Qusais",Dubai
Globehealth General Clinic Llc(Ghg),Clinic,"American Hospital Karamanear L Albada Street Karama,Satwa",Dubai
Golden Heart Medical Services Llc,Clinic,Unit 1405 Prime Tower Building Business Bay,Dubai
Good Living Medical Centre,Clinic,"Sheikh Hamdan Award Complex, B Al Mina Road, Jumeirah 1 ",Dubai
Goodhealth Polyclinic,Clinic,"Office # 102 & 102, 1St Floor, Damascus Street Qusais 1,Deira",Dubai
Goodwill Clinic Llc,Clinic,Al Bateel Mall Talaal Plaza Hypermarket Jebal Ali 1,Dubai
Grand Infinity Medical Center,Clinic,Alqasserbuilding Madina Mall Muhaisina-4,Dubai
Grand Infinity Medical Center Llc Branch,Clinic,"Ground Floor Hesyan 2, Jebel Ali",Dubai
Green Community (Gmc Healthcare Llc),Clinic,The Market Shopping Mall 1St Flr Green Comm Dubai Investment Park,Dubai
Gsm Medical Center,Clinic,Europeanbusinesscenter Behind Nmc Hospital Dip1,Dubai
Gulf Medical Centre (Llc),Clinic,"Shop 5,Al Rouhani Building Al Ittihad Road Deira",Dubai
Harley International Medical Clinic,Clinic,"Naswan Bidg Next To Maxim Supe Satwa Road Satwa,Bur Dubai",Dubai
Harley International Medical Clinic Bran,Clinic,"Nashwan Building Near Dubai Public Library Al Mankhool ,Burdubai",Dubai
Harley International Medical Clinic Llc,Clinic,"2Nd Floor - 202, Al Attar Businees Centre Al Barsha",Dubai
Health Call Fz Llc,Clinic,"502 Ibn Sina Building, Dubai Oud Metha Road Dhcc",Dubai
Health Family Clinic,Clinic,Flat 3093Rd Flooravenue Showro Khalid Bin Waleed Road Khalid Bin Waleed Road,Dubai
Health Hub -Br 6 Karama,Clinic,Al Kifaf Mansion Building Ground Floor Karama,Dubai
Health Hub-Al Nahda 2,Clinic,Essa Saleh Al Gurg Amman Street Al Nahda2,Dubai
Health Hub-Al Warqa,Clinic,Mashroom Building No-3 Al Warqa Street Al Warqa 1,Dubai
Health Hub-Alqouz 3,Clinic,Salman Ebrahim Building Mezzanine Flr-101-105 Alqouz-3,Dubai
Health Hub-Discovery Garden,Clinic,Zen Clustr Discovry Gardn Jabalali,Dubai
Health Hub-Festival City,Clinic,Festival City Basement Festivalcity,Dubai
Health Hub-International City,Clinic,Warsan 77 Near To Dragon Mart International City,Dubai
Health Hub-Silicon Oasis,Clinic,Lynx Tower Near Green Park Supermarket Silicon Oasis,Dubai
Healthhub-Muteena,Clinic,Al Muteena 1084 Next To Viva Supermarket Al Muteena,Dubai
Heartfirst Medical Centre,Clinic,"Flat 206, 2Nd Floor, Ibn Sina Oud Metha Road Dhcc",Dubai
Hellenic Dental Clinic Llc,Clinic,Villa G4U1  Al Wasl Road Jumeirah 1,Dubai
Hmc Medical Center Llc,Clinic,Detroit House Detroit Street Motor City,Dubai
Hopecare Polyclinic L.L.C,Clinic,26 Street 5 Hamad Khalfan 1 Hor Al Anz,Dubai
Houston Medical Clinic L.L.C Branch,Clinic,"No.101, 1St Floor Rna Resourse Bldg Al Quoz 3",Dubai
Houston Medical Clinic Llc,Clinic,Opp .Lulu Al Barsha Near Mall Of Emirates Al Barsha,Dubai
Ibrahim Abbara Clinic,Clinic,"Office # 212, 2Nd Floor, Ibn S 2Nd December Street Diyafah,Bur Dubai",Dubai
Imc Medical Center Llc,Clinic,"Flat F43 , Al Barsha Mall Al Barsha 3 Dubai",Dubai
Infinity Plus Medical Center,Clinic,Centurionstarbuilding Opposite Deira City Center Port Saeed,Dubai
Islamabad Medical Clinic L.L.C,Clinic,Residence 0943 Retail No 4 Hor Al Anz,Dubai
Janson Medical Center,Clinic,"Mezanine Floor, Kassim Mohd. B Rafa Road Rafa,Bur Dubai",Dubai
Jansons Stars Polyclinic-Kmc,Clinic,Easa Saleh Algurg Building Khalid Bin Waleed Road Bur Dubai,Dubai
Jehad International Medical Clinic,Clinic,"Flat 706, 7/F Crown Plaza Building, Crown Plaza Hotel Sheikh Zayed Road Sheikh Zayed Road",Dubai
Jumeira Beach Dental Centre,Clinic,Villa110 Jumeirah Srt Jumeirah 3,Dubai
Jumeira Prime Medical Center,Clinic,Al Ferdous 1 Al Wasl Road Al Wasl,Dubai
Jupiter Al Nahda Polyclinic,Clinic,"Ground Flr, Trio 3 Building Behind Sahara Mall Al Nahda 2",Dubai
Jupiter Al Qusais Polyclinic Llc,Clinic,"#207, Al Mazoon Building Opp: Grand Hotel Al Qusais",Dubai
Jupiter Specialty Medical Center,Clinic,Next To Al Karama Metro Statio Karama Metro Footbridge Mankhool,Dubai
Karama Medical Center (Al Qouz)-Kmc,Clinic,"1St Floor, Grand City Mall,Nea Marabea Road Qouz 4",Dubai
Karama Medical Center (Dip)-Kmc,Clinic,"1St Floor, The Parks Shopping Dip Dip",Dubai
Karama Medical Centre Br Burjuman,Clinic,"Al Yateem Building, Near Burjuman Metro Station, Karama",Dubai
Karama Medical Centre Br. Deira-Kmc,Clinic,"Al Hashmi Building, Opposite N Naif Road Naif",Dubai
Karama Medical Centre Br. Jumeirah-Kmc,Clinic,Atlantis Staff Accomodation Am Khail Road Jumeirah Village,Dubai
Karama Medical Centre Br.Al Khail Gate,Clinic,New West Zone Mall Al Khail Gate Al Quoz,Dubai
Karama Medical Centre Br.Alquoz Mall-Kmc,Clinic,Al Quoz Mall Al Quoz ,Dubai
Karama Medical Centre Muhaisnah Br,Clinic,"Blk 19, Jiwin Staff Accom Bldg Sonapur Muhaisna 2",Dubai
Karama Medical Clinic-Kmc,Clinic,"306; F-3; Ibrahim Khalifa Buil Opp. Fish Market Karama,Bur Dubai",Dubai
Kaul Clinic,Clinic,Level 8 Al Rais Center Bur Dubai,Dubai
Keerthi Medical Center,Clinic,Next To Karama Ctr Kuwait Street Bur Dubai,Dubai
Khalidha Medical Centre Llc,Clinic,"103&104 1St Karachi Resto Bldg Al Khail Mall,Latifa Hamdan St Al Quoz 3",Dubai
Khawaneej Health Centre (DHA),Clinic,"Opp Hamdan Bin Rashid High Sch Amardhi St, Khawaneej Rd Al Khawaneej",Dubai
Kids Neuro Clinic & Rehab Center,Clinic,Al Razi Medical Complex Building 64 Block D Unit 1015  Dhcc,Dubai
Kidsheart Medical Center Fz-Llc,Clinic,"Building # 27,Near Subway Dhcc ",Dubai
Kims Medical Centre,Clinic,"Al Dossari Building,G&Ist Flr Next To Abu Baker Al Siddique Salah Al Din Street,Hor Al Anz",Dubai
Kings College Hospital London Mc,Clinic,"Al Kharbash Building,2Nd Floor Billqetair Street Umm Suqeim 1",Dubai
"Kings College Hospital London, Mc",Clinic,The Residences At Marina Gate Dubai Marina Marina District1,Dubai
Kings Medical Center Llc,Clinic,4Th Floor  Al Rigga Business Center  Al Riqqa,Dubai
Klinika Maharlika Llc,Clinic,Al Hana Center  Al Mankhool Road Jafiliya,Dubai
Lafamilia Medical Center Llc,Clinic,"10Th Flr,I Rise Tower E1,Corner Hessa Street Al Khail",Dubai
Lakeshore Medical Center,Clinic,"Oriental House-1, Abv Apsara,O Abu Baker Siddique Street, Ban Bur Dubai",Dubai
Lavie Clinic L.L.C.,Clinic,Villa No 1027 Al Wasl Road  Jumeirah 3,Dubai
Lifeworks Holistic Counselling Centre,Clinic,"Villa 1230, Bahwan Villas Al Wasl Road Umm Sequim2 ",Dubai
Live Care Clinic,Clinic,Shoppers Mall  New Mini Parco-Shoppers Mall 13Th Street,Dubai
Liverpool Medical Clinic,Clinic,"Al Ain Center/ Computer Plaza Flat 114 Al Mankhool Road Opst Khaleej Center,Bur Dubai",Dubai
Lotus Medical Center Llc,Clinic,Al Rostamani Bldg Latifa Bin Hamdan Road Al Quoz 3,Dubai
Lusaily Clinic (DHA),Clinic,Near Lisaili Park Opp Lusaily Commercial Center Al Lisaili,Dubai
Mag Clinic,Clinic,Near Ibis Hotel Sheikh Zayed Road Sheikh Zayed Road,Dubai
Magnum Gulf Medical Center,Clinic,"Sit Tower 2Nd Floor Office # 201, 216 Choithram Supermarket",Dubai
Maissan Medical Clinic,Clinic,"202; F-2; Sultan Lootah Buildi Murrakkabat Street Rigga,Deira",Dubai
Mamzar Health Centre (DHA),Clinic,Near Al Ittihad Private School Al Rasheed Rd Cairo St Al Mamzar,Dubai
Mankhool Health Centre (DHA),Clinic,Behind New Public Library Al Mankhool Road Bur Dubai,Dubai
Manzil Home Health Services Llc- Dubai B,Clinic,Empire Heights Tower A Office Marasi Drive Business Bay,Dubai
Marhaba Medical Centre,Clinic,"Mezzanine Floor, Bin Jash Buil Al Maktoum Hospital Road Deira",Dubai
Marina Medical Center,Clinic,"Shop 1, Botanica Tower Bldg Behind Al Habtoor Hotel Dubai Marina",Dubai
Max Medical Clinic,Clinic,Ground Floor Souk 5 Saih Shuaib 3 Dubai Industrial City,Dubai
Medcare Medical Center - Br Mirdif,Clinic,"Al Barajeel Oasis Building, Algeria Street Uptown Mirdif",Dubai
Medcare Medical Center - Marina Br,Clinic,Sukoon Towers Al Emreef Street Dubai Marina,Dubai
Medcare Medical Center Discovery Gardens,Clinic,"Discovery Pavillion Bldg Rd 7, Beside Geant Supermarket Discovery Gardens",Dubai
Medcare Medical Center Maf City Center,Clinic,Inside Mirdif City Center 1St Mirdiff Shopping Mall Mirdif,Dubai
Medcare Medical Centre ¿ Al Khawaneej (B,Clinic,Dakakin Centre Near Al Khawaneej Mosque Al Khawaneej,Dubai
Medcare Medical Centre Al Barsha (Br Of,Clinic,Trio Building Near Grandiose Stores Al Barsha,Dubai
Medcare Medical Centre Motor City Br,Clinic,Flat 3 The Ribbon Mall Motor City Motor City,Dubai
Medcare Medical Centre Rashidiya Br.,Clinic,Bin Sougat Centre Airport Road Rashidiya,Dubai
"Medcare Medical Centre, Jbr",Clinic,"Sadaf Cluster Plaza Level, Sho Jumeirha Beach Road Jbr",Dubai
Medcare Physio & Rehab Center,Clinic,Smj 1 Building Sheikh Zayed Road ,Dubai
Medcare Specialist Pediatric Clinic,Clinic,"Al Kous St And 3A St,  Jumeira Near Jumeira Beach Park, And H Jumeirah",Dubai
Medcare Specialty Centre Mirdiff,Clinic,47 Street Al Barjeel Oasis Complex Uptown Mirdiff,Dubai
Medi Centers Polyclinic,Clinic,"Fox Hill Building 6,Opposite D Dubai Motor City Dubai Motor City",Dubai
Medi Centres Polyclinic Jumeirah Branch,Clinic,"Jpv-Rtl-12, Ground Floor Jumeirah Park Pavillion Comm Jumeirah Village",Dubai
Medi Centres Polyclinic  Llc Branch ,Clinic,"Frjp - R25 & 26 Furjan Pavillion Shopping Cent Al Furjan Villas, Furjan",Dubai
Medi Family Polyclinic Fze,Clinic,"115 Flr Sit Tower Nadd Hessa St, Free Zone Area Dubai Silicon Oasis",Dubai
Medica Zone Clinic,Clinic,Villa No. 18 Al Wasl Rd. Al Wasl Rd.,Dubai
Medical Specialists Centre (Msc),Clinic,"1St Floor, Dubai Real Estate C Mina Road Mina",Dubai
Medical Specialist'S Ctr-Al Barsha(Msc),Clinic,"Near Holiday Inn Hotel, Mohamm Sheikh Zayed Road, 4Th Interch Barsha,Bur Dubai",Dubai
Mediclinic Al Qusais,Clinic,"Dubai Residential Oasis, Near Damascus Street Qusais 2,Deira",Dubai
Mediclinic Al Sufouh,Clinic,"Block 10,Next To Welcare Hospi Sufouh Road Dubai Knowledge Village",Dubai
Mediclinic Arabian Ranches Llc,Clinic,Arabian Ranches Community Cent Arabian Ranches Arabian Ranches,Dubai
Mediclinic Dubai Mall Med Ctr,Clinic,Level 2 Parking 3 Dubai Mall,Dubai
Mediclinic Ibn Battuta,Clinic,China Courtg F142 Shop Ibn Batuta Mall Discovery Gardens,Dubai
Mediclinic Meadows Clinic,Clinic,"Meadows Community Centre,Near Meadows Street Meadows",Dubai
Mediclinic Meaisem,Clinic,"G044, Me'Aisem City Centre Intl Media Production Zone Sheikh Mohd Bin Zayed Rd",Dubai
Mediclinic Mirdif,Clinic,"Uptown Mirdif, G F, Shop 13 Algeria Street Mirdif",Dubai
Mediclinic Springs Clinic,Clinic,"Meadows Al Sohool,Meadown Town Meadows",Dubai
Mediclinic Welcare Outpatient Ctr,Clinic,2Nd Street Al Garhoud Block F Qarhoud Build Aprt Welcare Hospital,Dubai
Medicorp Gulf Medical Clinic,Clinic,"Room 101,  1St Floor, Al Shafar Building 7 Al Wasl Road Al Badaa",Dubai
Medicure Poly Clinic Branch (Dso),Clinic,Palace Towers Dubai Silicon Oasis Dubai Silicon Oasis,Dubai
Medicure Polyclinic,Clinic,Next To Mina Plaza Hotel Villa Mankhool Street Mankhool Street,Dubai
Medilife Polyclinic,Clinic,Alameedplaza 318 Street Al Quoz,Dubai
Medline Medical Center,Clinic,Jumeirah Terrace Building 2Nd December Road Jumeirah 1,Dubai
Medstar Healthcare Llc,Clinic,Grnd Flr Gulf Tower Bldg. Opp: Dhcc Oud Metha Rd,Dubai
Medze Clinic (Br Of Medze Healthcare L.L.C),Clinic,Shop No 1 And 2  Al Mulla Building Deira,Dubai
Medze Starmed Poly Clinic Llc,Clinic,K5 Building Flat No 104  Al Muraqabat St Al Muraqabat,Dubai
Mid East Polyclinic (Bhatia),Clinic,"M Floor, Otaiba Bldg Next To Al Maya Supermarket Al Rigga, Deira",Dubai
Mini Vm Polyclinic,Clinic,"Office # 2021, 2Nd Floor, Sunrise Supermarket Building Damascus Street Quasis 2",Dubai
Miracure Medical Center,Clinic,Rashid Buset Building Opposite Dubai Harbor Project Ras Al Khor,Dubai
Modern Family Clinic,Clinic,"Umm Hurair Buildingopp To Civi Zabeel Road Karama,Bur Dubai",Dubai
Move Freely Physiotherapy Centre,Clinic,Ground Floor At The Aviation Club Al Garhoud,Dubai
Muhaisna Specialist Medical Ctr (Avivo),Clinic,Sulthan Muhaisna Old Muhaisna 2 Old Muhaisna 2,Dubai
Multi Care Medical Center Llc,Clinic,Al Khail Gate Community Latifa Bin Street Al Qouz Residential Area,Dubai
Mustafa Alqaysu Medical Centre,Clinic,Mai Tower  Ground Floor .Amman Street Al Qusais,Dubai
My Health Day Surgery Center Llc(Alsalam,Clinic,"336 Al Ghurair Tower 2 Al Ghurair Mall, Al Rigga St. Deira",Dubai
My Pedia Clinic Fz-Llc,Clinic,Flat 1011 Al Razi Bldg 64 Dhcc Oud Metha,Dubai
Nad Alhamar Health Center (DHA),Clinic,Opp Nad Al Hamar Primary Sch Nadd Al Hamar Rd Al Rashidiya,Dubai
Nadd Al Shiba Clinic (DHA),Clinic,Behind Nad Alshiba Police Stat Near Tashkeel Nadd Al Shiba 1 Road,Dubai
Nagem Dental Center Llc Branch,Clinic,Business Center Building Room 506 17 A Street Al Barsha,Dubai
Nagem Dental Diet & Laser Center Llc,Clinic,Cbd E05 Shop 1  Opposite Chick Bait Restaurant International City,Dubai
Naif Medical Center,Clinic,"Al Lootah Building,Near Rashid Naif Road Naif",Dubai
Nanom Healthcare L.L.C (Emirates),Clinic,Nakhlat Jumeira 381 Dubai Palm Dubai,Dubai
Nasser Clinic LLC,Clinic,"Unit # 10201St Floorsunrise Su Damascus Street Qusais 2,Deira",Dubai
Netcare Clinic,Clinic,"Office # 107, 1St Floor, Dubai Dhiyafa Road Satwa,Bur Dubai",Dubai
Neuropedia Childrens Neuroscience Center,Clinic,"Villa 136B/24 Bldg Opp Dubai Old Zoo Beach Rd, Jumeirah 1",Dubai
New Al Musalla Medical Center Branch,Clinic,"Obroy Building Firstfloor,Alquoz Industrial Area4",Dubai
New Al- Musalla Medical Centre- Musalla,Clinic,Shaklan Supermarket Building Muhaisna-2 St. Sonapoor,Dubai
New Apollo Polyclinic,Clinic,"Office # 101, 1St Floor, Karam Kuwait Street Hudaiba,Bur Dubai",Dubai
New Emirates Medical Centre,Clinic,"202; F-2; Alhawai Building, Nr Rigga Street Rigga,Deira",Dubai
New Fathima Medical Center (Fmc),Clinic,"Office # 101, 1St Floor, Al Sh Musalla Road Bur Dubai",Dubai
New Lotus Medical Center,Clinic,201 Dubai Coop Society Buildin Damascus Street Qusais,Dubai
New Medical Centre,Clinic,"1St Floor Nesto Hypermarket, N New West Accommodation Jafza",Dubai
New Medical Centre Llc,Clinic,"Mezzanine Floor, New Safiya Bu Salahuddin Street Hor Anz,Deira",Dubai
New Medilife Medical Center Llc,Clinic,Building Material Market Al Warsan Grnd Floor Ras Al Khor,Dubai
New Sanaiya Clinic - Br,Clinic,2Insideakmartdubaiinvestmentpa  Dip,Dubai
New Sanaiya Clinic (Sanaiya),Clinic,"Muhaisnah 2, Sonapur Gnd Flr Al Abaar Complex Nxt To Madina Supermarket",Dubai
New Sanaiya Clinic-Br Horalanz (Sanaiya),Clinic,Hor Al Anz Ali Mesmar Bldg Nr Emirates Driving Inst,Dubai
New Vision Eye Center Fz-Llc,Clinic,"3008, 3Rd Flr Al Razi 64, Near Emirates Nbd Dubai Healthcare City",Dubai
Nmc Dic Clinic And Pharmacy Warsan,Clinic,Shop No 11820 China Cluster Warsan,Dubai
Nmc Polyclinic Branch Of Nmc Hospital Ll,Clinic,Dp World Clinic Dp World Port Jebal Ali Freezone,Dubai
Noor Al Shefa Clinic,Clinic,"1St Floor Jebel Ali Mall, Indu Zayed Ibn Sultan Street Jebel Ali",Dubai
Noor Al Shefa Clinic 3,Clinic,Jafza Mall Jafza South Jafza,Dubai
Noor Al Shefa Clinic Al Quoz Branch,Clinic,"107, Al Ghurair Intl Exchange Al Quoz Industrial 3",Dubai
Noor Al Shefa Clinic Aweer,Clinic,Union Co-Op Society Ras Al Khor Aweer,Dubai
Noor Al Shefa Clinic Branch 4,Clinic,Meena Retail Building  Jafza West,Dubai
Northwest Clinic For Diabetes&Endocrino,Clinic,"Villa 935, G+1, Near J3 Mall, Umm Suqeim 2 Al Wasl Road",Dubai
Novitas Clinic Llc,Clinic,Prime Residence 2 Near  V Fitness Gym Al Warsan,Dubai
Nucleus Clinic L.L.C,Clinic,Al Fattan Marine Tower Opposite Rixos Hotel Jbr Walk,Dubai
Occupational Health Intl (Amber-GHI),Clinic,Rigga Business Center Rigga Street Rigga,Dubai
Okare Physiotherapy Center,Clinic,Uptown Mirdiff Mirdiff Uptown,Dubai
Open Minds Psychiatry Counselling And Ne,Clinic,"The One Tower Suite 904, 905 9Th Floor Tecom,Al Barsha",Dubai
Optimum Diagnostic Clinic Dmcc,Clinic,"Flat806/807 X3 Tower Near Damac Metro Stn Jlt, X Cluster",Dubai
Orthocure Medical Center,Clinic,9002-A Ground Al Barajeel Uptown Mirdif Algeria 47 Uptown Mirdif,Dubai
Our Care And Cure Medical Center Llc,Clinic,Suhail Saleem Saed Building Shop Num-8 Jebal Ali Industrial Area,Dubai
Panacea Medical & Wellness Center,Clinic,#Name? Tariq Bin Ziyad Road Umm Hurair,Dubai
Paradise Plus Poly Clinic,Clinic,Ritaj Community Centre 1St F Alyalais Street Dubia Investment Park 2,Dubai
Pearls Polyclinic,Clinic,"Al Khalafy Building, Near Tele Wuheida Road Mamzar",Dubai
Premier Diagnostic&Medical Center(Prime),Clinic,Opp. Reef Mall Salahuddin Street Hor Anz,Dubai
Primacare Speciality Clinics Llc (Avivo),Clinic,"Musalla Tower And Mall Musalla Road Al Hamriya,Bur Dubai",Dubai
Prime Medical Center - Rta,Clinic,"Block C, Ground Floor Rta Headquarters, Um Ramool",Dubai
Prime Medical Center (Mizhar Branch),Clinic,Arabian Center Building Khawaneej Road Mizhar,Dubai
Prime Medical Center (Sheikh Zayed Road),Clinic,Opposite Noor Islamic Bank Met 3Rd Interchange Sheikh Zayed Road,Dubai
Prime Medical Center Al Qusais,Clinic,Inside Al Qusais Plaza Damascus Street Al Qusais,Dubai
Prime Medical Center Al Warqa,Clinic,Al Warqa City Mall Tipoli Street Al Warqa,Dubai
Prime Medical Center Barsha Heights Br,Clinic,The Onyx Tower 1 Ground Floor Sheikh Zayed Road,Dubai
Prime Medical Center Bur Dubai,Clinic,3Rd Floor Burjuman Center Khalid Bin Al Waleed Road,Dubai
Prime Medical Center Motor City(Prime),Clinic,. . Motorcity,Dubai
Prime Medical Center Reef Mall,Clinic,"3Rd Floor, Reef Mall Near Babyshop, Opp: Gold'S Gym Salahuddin, Deira",Dubai
Prime Medical Centre,Clinic,"Reef Mall 2nd Floor, Salahuddin St. Deira",Dubai
Primecorp Medical Center Dip - Br,Clinic,Bldg33 Al Futtaim Accomodation Dubai Investment Park 2 Dip,Dubai
Primecorp Medical Center Dwc,Clinic,Dubai Aviation Engr Project Al Maktoum Int'L Airport Al Maktoum,Dubai
Primecorp Medical Center Llc Jabal Ali B,Clinic,Alec Camp 12 Jabal Ali Industrial  First G0 Jabal Ali,Dubai
Rak Diabetes Centre,Clinic,"Villa 1165 Lot 367-475 Next To Family First Medical Al Wasl Rd, Jumeirah",Dubai
Rashid Trauma Center (DHA),Clinic,Rashid Hospital  ,Dubai
Ruby Clinic (Sanaiya),Clinic,International City China Cluster H6 Grnd Flr Dragon Mart,Dubai
Safa Health Centre (DHA),Clinic,Near Al Safa Park Al Attar Road Al Safa,Dubai
Saleem Polyclinic (Aster),Clinic,"Al Morjana Plaza,112,1St Floor Satwa Road Satwa,Bur Dubai",Dubai
Saudi German Clinics,Clinic,The Mall Opp Jumeirah Beach Resort Umm Suqeim 3,Dubai
Sekher Medical Clinic,Clinic,"Near Old Grand Mall, Flat No-1 Madina Road Industrial Area 3",Dubai
Shanghai Medical Center Branch,Clinic,Groundfloor Cbd-2 International City,Dubai
Sheikh Manaa Bin Hasher Almaktoum Pc,Clinic,"Al Shafar Building 7 Al Wasl Road ,Al Safa Opp Emirates Petrol Station",Dubai
Sirajudeen Medical Centre,Clinic,"First Flr Jumbo Building,Opp V Street # 20B Karama",Dubai
Spanish Centre Lasik & Eyes & Cosmetic L,Clinic,Villa No 262 Jumeriah Beach Road Jumierah,Dubai
Specialized Medical And Dental Center,Clinic,"Al Hudaiba Awards Building 118, First Floor Jumeirah",Dubai
Sultan Al Olama Medical Center,Clinic,"Mirdif Central Bldg., Showroom1 Behind Rak Bank",Dubai
Sultan Al Olama Medical Center Barsha,Clinic,Barsha Mall Al Asayel Street Al Barsha Second,Dubai
Sultan Al Olama Medical Center- Br,Clinic,Indigo Central 7 Opposite Times Square Mall Al Manara,Dubai
Sultan Al Olama Medical Center Branch,Clinic,"Etihad Mall F07, First Floor Alkhawaneej Road, Muhaisanah 1",Dubai
Sultan Al Olama Medical Center Branch,Clinic,The Pavilion Retail No.8 Al Furjan,Dubai
Sultan Al Olama Medical Center L.L.C (Branch),Clinic,Aswaaq Mall First Floor Al Qoze,Dubai
Sultan Alolama Medical Center Branch Icp,Clinic,The Pavilion International City France Cluster,Dubai
Sunrise Care Medical Centre Llc (Imh),Clinic,208-209; F-2; Sh.Rashid Buildi Maktoum Street Deira,Dubai
Syed Sadiq General Practitioner Clinic,Clinic,Al Rostamani Building Lattifa Binhamdan Strt Alqouz Ind 3,Dubai
Tajmeel Royal Clinic Llc,Clinic,"Tajmeel Royal Clinic, Near Metropolitan Hotel, Umm Al Sheif, Sheikh Zayid Rd  Po. Box. 34085",Dubai
The Dubai Diabetes Center (DHA),Clinic,"1 Flr, Hudaiba Awards Bldg Block C, Near Union House 2Nd Of December St,",Dubai
Thumbay Clinic Llc Al Rashideya 1,Clinic,Al-Quds Street  Rashidiya-3,Dubai
Thumbay Clinic Llc Branch Satwa,Clinic,Near Bilal Bin Rabah Primary School  Jumeirah,Dubai
"Thumbay Clinic, Ras Al Khor",Clinic,Nexttomarhabamall 313 Al Awir Road Ras Al Khor,Dubai
Toronto Medical Center Llc,Clinic,"Flat 101 Al Adeem Bldg., Al Khail Mall Al Quoz",Dubai
